"","x"
"T+239",0.00105548374455215
"T+240",0.00105294318750998
"T+241",0.00104433522401188
"T+242",0.00103561172400344
"T+243",0.00102634627145802
"T+244",0.00102394215822277
"T+245",0.00101484788758412
"T+246",0.00100875556239918
"T+247",0.00100027566300938
"T+248",0.000999938019769975
"T+249",0.000991712071669583
"T+250",0.000994111926252001
"T+251",0.000989135205614672
"T+252",0.000982948833643528
"T+253",0.000984704492476608
"T+254",0.000977072453398336
"T+255",0.000969726838297119
"T+256",0.000963044232241329
"T+257",0.000958623036194035
"T+258",0.000952641641382824
"T+259",0.000946854680340728
"T+260",0.000952427929057413
"T+261",0.000946081495869787
"T+262",0.000939893947323231
"T+263",0.000938405881831844
"T+264",0.000932475031986848
"T+265",0.000928994828944474
"T+266",0.000954983210666019
"T+267",0.000948625448207215
"T+268",0.000946046204421355
"T+269",0.000944455480714311
"T+270",0.00094177843952504
"T+271",0.000935826409619783
"T+272",0.000939712135790816
"T+273",0.000933831894125659
"T+274",0.000928647193738702
"T+275",0.000924675989609374
"T+276",0.000924778242951119
"T+277",0.000970466717691985
"T+278",0.000964143296011666
"T+279",0.000961469661542223
"T+280",0.000990008392993047
"T+281",0.000987842137048925
"T+282",0.000981916641667829
"T+283",0.000976448251655876
"T+284",0.000972862497250175
"T+285",0.000965876145080989
"T+286",0.000959262966353134
"T+287",0.000953460097952291
"T+288",0.000975943847970286
"T+289",0.000968614745338639
"T+290",0.000962608727382642
"T+291",0.000959137098354241
"T+292",0.000957101024438372
"T+293",0.000950661445920504
"T+294",0.000944360579830694
"T+295",0.000946184727551966
"T+296",0.000944485329942676
"T+297",0.000939636125692161
"T+298",0.000949508121757334
"T+299",0.000945564047800242
"T+300",0.000941304868183662
"T+301",0.000935916539068483
"T+302",0.000934879245942587
"T+303",0.000929117796235676
"T+304",0.000930411229137134
"T+305",0.000924978865828852
"T+306",0.000920797494204497
"T+307",0.000916290431543071
"T+308",0.000917831982726754
"T+309",0.000913756787803027
"T+310",0.000908967853570412
"T+311",0.000908574966879099
"T+312",0.00090757068550281
"T+313",0.000903228436738273
"T+314",0.000899520960955764
"T+315",0.00089498754002124
"T+316",0.000891888344964284
"T+317",0.000909899978623596
"T+318",0.000941140316727221
"T+319",0.000943396599956931
"T+320",0.000937514328899286
"T+321",0.000940467830405089
"T+322",0.000939886352332343
"T+323",0.000942066055576397
"T+324",0.000953787735256508
"T+325",0.000947790201096058
"T+326",0.000952255486866422
"T+327",0.00097366948185903
"T+328",0.000966441533778961
"T+329",0.000974516232814407
"T+330",0.000970154702293694
"T+331",0.000994599981213168
"T+332",0.000997883852433386
"T+333",0.000992459158886776
"T+334",0.000989490354791724
"T+335",0.000985848535763969
"T+336",0.00100120976243824
"T+337",0.000993581467402641
"T+338",0.00102551828395621
