"","location","scale","skewness","shape"
"T+112",0.00101762879333085,0.00108635854216293,1.38604549378953,4.41655640996767
"T+113",-0.000475095242780058,0.00131704239793594,1.42137411331331,4.49915173317127
"T+114",0.000540228626123235,0.00236477470867177,1.42512034227314,4.70876787663211
"T+115",0.000731833907283558,0.0020929731024475,1.41555337143792,4.61999571249368
"T+116",0.000931246759484384,0.00187193759778494,1.40484816907329,4.55739177083009
"T+117",0.00102502440788255,0.00169015862791887,1.39898029441842,4.50211348756578
"T+118",0.00113439830979509,0.00153895728960536,1.39243103351636,4.46345582267363
"T+119",0.00142567721242214,0.00141897851261255,1.37592225542345,4.44791061629785
"T+120",0.00132008161550203,0.00133681812749205,1.38413290293207,4.42682676424147
"T+121",0.000477945576666146,0.00143515357374923,1.41750968783721,4.45851757008464
"T+122",0.000919903202560823,0.00134163770472979,1.40336264749644,4.45343835165827
"T+123",0.000797741440700728,0.00127826613765255,1.40856529333498,4.43207819806535
"T+124",0.000968686954735546,0.00119170933294427,1.40214735523054,4.41172480069455
"T+125",0.00100644996249286,0.00112626587440692,1.40075809547878,4.39610446420978
"T+126",-0.000301307756012016,0.00131741051859778,1.42756231670987,4.45949510830404
"T+127",0.000525634386836346,0.00133508912012328,1.4115277910049,4.51870533716017
"T+128",0.000898346413443462,0.00124446421672796,1.39885710357989,4.48868292366271
"T+129",0.00124036260527065,0.00116545901603106,1.38512121846744,4.46347261116401
"T+130",-2.27534586544073e-05,0.00135537571963988,1.42077968869758,4.53059778807696
"T+131",0.000844240795208326,0.00143103968702003,1.40228798369286,4.63409302081117
"T+132",0.00101440851788186,0.00132096117573373,1.39460469586546,4.55708624761755
"T+133",0.000643914417795496,0.00130376405078828,1.41101505231922,4.52433592312381
"T+134",0.00107908253870018,0.00122464384256494,1.39642731915232,4.50108291856422
"T+135",0.000232861644508369,0.00131298673399141,1.42214150875409,4.52079373394954
"T+136",0.00072165670396508,0.00123583854227545,1.40916657117838,4.50214533582158
"T+137",0.000853740055216577,0.00115792195597238,1.40445833953637,4.46223171231283
"T+138",0.00100271567211994,0.00109027649039143,1.39917855349025,4.4336537965839
"T+139",0.00222158582458106,0.00139913834239226,1.37905804366064,4.62726751574993
"T+140",0.000345485140508217,0.00230682526349018,1.37785734534619,5.12136528382643
"T+141",0.00059885466593002,0.00206820317348624,1.35655456087621,4.9357710641062
"T+142",0.000784162222933718,0.00185541295410507,1.33888977790122,4.77349874333423
"T+143",0.000892686077252069,0.00167961329742305,1.33068893300894,4.65329958535359
"T+144",0.00092146804756107,0.00154201858418375,1.33514637798874,4.57137089206326
"T+145",0.000820335830168871,0.00144829010458198,1.3564608742839,4.51999070902887
"T+146",0.000966946682120743,0.00133805908295003,1.34833233701559,4.47826096852366
"T+147",0.000161285609817179,0.001430516996416,1.40379449472713,4.50658331074796
"T+148",0.000713780890705205,0.00136068134264811,1.38362096020644,4.51051614564585
"T+149",0.000916043144714187,0.00126186550082682,1.3742150516216,4.47171439208795
"T+150",0.000733907149146709,0.0012156086486585,1.38896228382375,4.44860166963113
"T+151",0.000834401157219355,0.00114315431006695,1.38612809558186,4.42382791718027
"T+152",0.000249546981777266,0.00116968652972243,1.41092893790808,4.42955494291983
"T+153",0.000759712221035973,0.00110800191127151,1.39640736526951,4.42541919729045
"T+154",0.000469687409836804,0.00109190182186343,1.40832157748341,4.41617202669673
"T+155",0.000749859345873745,0.00103084714976734,1.40018363247232,4.40103914922583
"T+156",0.000887917142196285,0.000982036221412888,1.39622113578743,4.3877839304485
