"","location","scale"
"T+161",0.00112870912086803,3.49022701552947e-05
"T+162",0.00112752890730309,3.49022701873615e-05
"T+163",0.00113310488119277,3.49022700338149e-05
"T+164",0.00114550353304791,3.49022697850807e-05
"T+165",0.00113927677163375,3.49022699043586e-05
"T+166",0.00113072124530824,3.4902270129933e-05
"T+167",0.00112750832785112,3.49022702074132e-05
"T+168",0.00113230869932007,3.4902270062879e-05
"T+169",0.00112652946369119,3.4902270233424e-05
"T+170",0.0011338563514744,3.49022700280883e-05
"T+171",0.00112860298593865,3.49022701720001e-05
"T+172",0.00112499165001627,3.49022702771232e-05
"T+173",0.00113335756501494,3.49022700439796e-05
"T+174",0.00113797069742055,3.49022699181027e-05
"T+175",0.0011432053501132,3.49022697978155e-05
"T+176",0.00113351446110837,3.49022700490577e-05
"T+177",0.00113092734809527,3.49022701037215e-05
"T+178",0.0011291543704644,3.49022701455974e-05
"T+179",0.00112822556287422,3.49022701678326e-05
"T+180",0.001123958506967,3.49022703044242e-05
"T+181",0.00112885538296281,3.49022701545633e-05
"T+182",0.00114412084166219,3.49022698368567e-05
"T+183",0.00113545648024265,3.49022700212422e-05
"T+184",0.0011336987557429,3.49022700376956e-05
"T+185",0.00112741903348476,3.4902270214111e-05
"T+186",0.00112393964508051,3.49022703140792e-05
"T+187",0.00113535179989822,3.49022700111502e-05
"T+188",0.00114870574202877,3.49022697513543e-05
"T+189",0.00114102851934253,3.49022698834154e-05
"T+190",0.0011365738227313,3.49022699663068e-05
"T+191",0.00113041821127449,3.49022701261335e-05
"T+192",0.00112872930132233,3.49022701620434e-05
"T+193",0.00113910557518821,3.49022699106775e-05
"T+194",0.00115944097108253,3.49022696646989e-05
"T+195",0.00119541399944952,3.49022699804474e-05
"T+196",0.00115790031175418,3.4902270198531e-05
"T+197",0.00116837147183093,3.49022698081588e-05
"T+198",0.0011507368728986,3.4902269915188e-05
"T+199",0.0011366094489494,3.49022701300165e-05
"T+200",0.00113079658483021,3.49022701963391e-05
"T+201",0.00112987004878421,3.49022701683549e-05
"T+202",0.00117046790725255,3.4902269962706e-05
"T+203",0.00145993850128672,3.49023194656446e-05
"T+204",0.00130726133782717,3.49022945226358e-05
"T+205",0.00122247966869664,3.49022822132667e-05
"T+206",0.00117858782694118,3.49022760964982e-05
"T+207",0.00116159550018717,3.49022729234069e-05
"T+208",0.00115641523185686,3.49022712767788e-05
"T+209",0.00114179064444409,3.49022707354308e-05
"T+210",0.00113598612007384,3.49022704197627e-05
"T+211",0.00114615075897454,3.49022699879897e-05
"T+212",0.00113381516716722,3.4902270183418e-05
"T+213",0.00113309244963912,3.49022701128414e-05
"T+214",0.00113375631690439,3.49022700499069e-05
"T+215",0.00114085131007979,3.49022698681492e-05
"T+216",0.00113426665778568,3.49022700232213e-05
"T+217",0.0011342857109755,3.49022700066191e-05
"T+218",0.00112862400034711,3.49022701676956e-05
"T+219",0.00112579032902822,3.49022702483277e-05
"T+220",0.0011273579316994,3.4902270194616e-05
"T+221",0.0011240116978636,3.49022703007629e-05
"T+222",0.00112674620930306,3.49022702126393e-05
"T+223",0.00112825200863002,3.4902270164523e-05
"T+224",0.00113242514997195,3.49022700477828e-05
"T+225",0.00112925351987732,3.49022701377863e-05
"T+226",0.00112620652860294,3.49022702299989e-05
"T+227",0.00112704640339846,3.49022702010429e-05
"T+228",0.00112356373290728,3.49022703141734e-05
"T+229",0.00112490450872207,3.49022702684187e-05
"T+230",0.00112293435846523,3.49022703324917e-05
"T+231",0.00112219654954508,3.49022703560256e-05
"T+232",0.00112251578970287,3.49022703445215e-05
"T+233",0.00112729404224767,3.49022701975098e-05
"T+234",0.00113125532252578,3.49022700818482e-05
"T+235",0.00112744403905818,3.49022701942085e-05
"T+236",0.00112549287840895,3.49022702518881e-05
"T+237",0.00112389129761071,3.49022703016042e-05
"T+238",0.00112656568463396,3.49022702166003e-05
"T+239",0.00112504248000794,3.4902270263454e-05
"T+240",0.00112471761736049,3.49022702725928e-05
"T+241",0.00112391811753506,3.49022702980818e-05
"T+242",0.00112308543018605,3.49022703253248e-05
"T+243",0.00112675141944476,3.49022702113079e-05
"T+244",0.00112493662867994,3.49022702673858e-05
"T+245",0.00112232461044538,3.49022703538276e-05
"T+246",0.00112097969327892,3.49022703984228e-05
"T+247",0.00112061996273024,3.4902270409726e-05
"T+248",0.00112002664959406,3.49022704299383e-05
"T+249",0.00112091711675936,3.49022703987959e-05
"T+250",0.0011238830898424,3.49022703013301e-05
"T+251",0.00112350442169013,3.49022703123318e-05
"T+252",0.00112207988626444,3.49022703597964e-05
"T+253",0.00112149610694843,3.49022703790769e-05
"T+254",0.00112664093464783,3.49022702187788e-05
"T+255",0.00116755913962856,3.49022699626113e-05
"T+256",0.00115079979765037,3.49022699798151e-05
"T+257",0.00113641333521219,3.49022701700111e-05
"T+258",0.00112738946284259,3.49022703291909e-05
"T+259",0.00113328584314758,3.4902270098815e-05
"T+260",0.00113642638798674,3.49022699791406e-05
"T+261",0.0011411600492789,3.49022698519866e-05
"T+262",0.00114165469042665,3.49022698267773e-05
"T+263",0.00113218388544418,3.49022700819361e-05
"T+264",0.00113519212857837,3.49022699868422e-05
"T+265",0.00113155336848079,3.49022700790352e-05
"T+266",0.00164848817423035,3.49024183132988e-05
"T+267",0.00137510710222879,3.49023447434321e-05
"T+268",0.00125860198017493,3.49023072730482e-05
"T+269",0.00119198018610942,3.49022887618604e-05
"T+270",0.00116101301244317,3.49022794349424e-05
"T+271",0.00114675275406215,3.49022747369121e-05
"T+272",0.00113286433050125,3.49022726016757e-05
"T+273",0.00113119107521008,3.49022713625515e-05
"T+274",0.00113216788900436,3.49022706918087e-05
"T+275",0.00112924887208801,3.4902270455913e-05
"T+276",0.00112613500165931,3.49022703913628e-05
"T+277",0.00112974947409259,3.4902270203249e-05
"T+278",0.00112594835088839,3.49022702796908e-05
"T+279",0.0011232630588275,3.49022703448238e-05
"T+280",0.00112306003189313,3.49022703385537e-05
"T+281",0.00112277953370219,3.49022703414135e-05
"T+282",0.00112044402622654,3.49022704195448e-05
"T+283",0.00112326184441954,3.49022703237023e-05
"T+284",0.00112723168087637,3.49022701993071e-05
"T+285",0.00112461031309939,3.49022702804e-05
"T+286",0.00112190634936417,3.49022703693794e-05
"T+287",0.00112725748345504,3.49022702025353e-05
"T+288",0.00112711858780406,3.49022702011807e-05
"T+289",0.0011258236866203,3.4902270239252e-05
"T+290",0.00112253184937853,3.49022703481356e-05
"T+291",0.00112136388936038,3.49022703857072e-05
"T+292",0.00112521595201651,3.49022702611939e-05
"T+293",0.00112422750057423,3.49022702903838e-05
"T+294",0.00112110360215075,3.4902270396369e-05
"T+295",0.00112070300722873,3.4902270407962e-05
"T+296",0.00112137716850031,3.49022703836702e-05
"T+297",0.00112384493682395,3.49022703021119e-05
"T+298",0.00112499722828746,3.49022702638891e-05
"T+299",0.00112559393736773,3.49022702441326e-05
"T+300",0.00112772149355391,3.49022701789396e-05
"T+301",0.00112718802432577,3.4902270194418e-05
"T+302",0.00112493813704736,3.4902270266172e-05
"T+303",0.00112344673842967,3.49022703144024e-05
"T+304",0.00112325290579656,3.49022703199762e-05
"T+305",0.00112621062837385,3.49022702268449e-05
"T+306",0.00112605842886714,3.49022702300816e-05
"T+307",0.0011536722813647,3.49022698257175e-05
"T+308",0.00115528734008154,3.49022696872024e-05
"T+309",0.00114808091901038,3.49022697584224e-05
"T+310",0.00115675130626139,3.49022696107306e-05
"T+311",0.00115037772962655,3.49022696866098e-05
"T+312",0.00114349959336034,3.49022698085365e-05
"T+313",0.00113817205604326,3.49022699188852e-05
"T+314",0.00114171870119228,3.49022698279995e-05
"T+315",0.00113854430412399,3.49022698951147e-05
"T+316",0.00114244999755303,3.49022698055358e-05
"T+317",0.00116288543312036,3.4902269616317e-05
"T+318",0.00115994253302837,3.49022695818887e-05
"T+319",0.00114530640618303,3.49022698359609e-05
"T+320",0.00114301713123264,3.49022698344481e-05
"T+321",0.00116083484995055,3.49022696260549e-05
"T+322",0.00115207329065093,3.49022697014437e-05
"T+323",0.00115503333902976,3.49022696183474e-05
"T+324",0.00115732763550026,3.49022695674453e-05
"T+325",0.00115239339422127,3.4902269631364e-05
"T+326",0.00114345976698145,3.49022698077744e-05
"T+327",0.00133376864113433,3.49022878850398e-05
"T+328",0.00124055055651395,3.49022787913279e-05
"T+329",0.00119824346672635,3.49022741762585e-05
"T+330",0.00117808919882532,3.49022718561054e-05
"T+331",0.00119152269035716,3.49022707501243e-05
"T+332",0.00116471916803979,3.4902270324371e-05
"T+333",0.00115103786959087,3.49022701183102e-05
"T+334",0.00115354450041548,3.49022698389925e-05
"T+335",0.00114762903757632,3.49022698250228e-05
"T+336",0.00113826185090581,3.4902269983422e-05
"T+337",0.00113520787049745,3.49022700158281e-05
"T+338",0.0011489287131419,3.49022697509423e-05
"T+339",0.00115105675329695,3.49022696754294e-05
"T+340",0.00114386348687914,3.49022698023371e-05
"T+341",0.0011374880449804,3.4902269939884e-05
"T+342",0.00113603217256115,3.49022699613757e-05
"T+343",0.00113486374560186,3.49022699838011e-05
"T+344",0.00113653292215123,3.4902269937754e-05
"T+345",0.00113215841723135,3.4902270056474e-05
"T+346",0.00113054776072872,3.49022700985175e-05
"T+347",0.00113400922247628,3.49022700039845e-05
"T+348",0.00113372256412605,3.49022700085897e-05
"T+349",0.00113587727052697,3.49022699521974e-05
"T+350",0.00112729838340917,3.49022702139115e-05
"T+351",0.00112568294626697,3.49022702531147e-05
"T+352",0.00112575870713319,3.49022702443485e-05
"T+353",0.00112681125619764,3.49022702085585e-05
"T+354",0.00112887460695813,3.49022701454755e-05
"T+355",0.00113069639276811,3.49022700918257e-05
"T+356",0.00112714935826449,3.49022701996982e-05
"T+357",0.00112624332147005,3.49022702255263e-05
"T+358",0.00112674485523052,3.49022702085701e-05
"T+359",0.00112549682178378,3.49022702474899e-05
"T+360",0.00112270268934293,3.49022703404267e-05
"T+361",0.00112614181666741,3.49022702310019e-05
"T+362",0.0011258288727238,3.4902270238336e-05
"T+363",0.00112535961147637,3.49022702519983e-05
"T+364",0.0011248994729328,3.49022702661096e-05
"T+365",0.00112418720405361,3.49022702889401e-05
"T+366",0.00114000515407321,3.49022699258165e-05
"T+367",0.00113073564891166,3.49022701525613e-05
"T+368",0.00112598369798189,3.49022702699539e-05
"T+369",0.00112323473687443,3.49022703415561e-05
"T+370",0.00112285729641848,3.4902270343237e-05
"T+371",0.00112370253300816,3.4902270309973e-05
"T+372",0.00112374250463538,3.49022703058106e-05
"T+373",0.0011232923212727,3.49022703192953e-05
"T+374",0.00112078887304739,3.49022704052817e-05
"T+375",0.0011208950391253,3.49022704002846e-05
"T+376",0.00116506857079377,3.49022700606287e-05
"T+377",0.00114195531044158,3.49022702659293e-05
"T+378",0.0011308763932119,3.49022703516022e-05
"T+379",0.00112603227387997,3.49022703702239e-05
"T+380",0.00112816848843532,3.49022702353812e-05
"T+381",0.00112760242644084,3.49022702167293e-05
"T+382",0.0011449201433463,3.49022698533017e-05
"T+383",0.00113464276297733,3.49022700679609e-05
"T+384",0.00113061452738192,3.49022701399899e-05
"T+385",0.00112822187367643,3.4902270187869e-05
"T+386",0.00112559391086988,3.49022702582596e-05
"T+387",0.00112621871350534,3.49022702311478e-05
"T+388",0.00112311544008021,3.49022703304348e-05
"T+389",0.00114129785697784,3.49022699242705e-05
"T+390",0.00116567166964187,3.4902269694147e-05
"T+391",0.001142426387246,3.49022700766319e-05
"T+392",0.00113415840730473,3.49022701552242e-05
"T+393",0.00112548654582205,3.49022703501732e-05
"T+394",0.0011232628520906,3.49022703720755e-05
"T+395",0.00112144886449604,3.4902270407545e-05
"T+396",0.00112123792824045,3.49022704009713e-05
"T+397",0.00112355553846241,3.49022703176665e-05
"T+398",0.00112663348484319,3.49022702177135e-05
"T+399",0.00112504177490874,3.49022702651526e-05
"T+400",0.00112469293129774,3.49022702742321e-05
"T+401",0.00112453853236885,3.49022702781218e-05
"T+402",0.00112914367583349,3.49022701414581e-05
"T+403",0.00112588944151881,3.49022702405807e-05
"T+404",0.00112542970506823,3.49022702518419e-05
"T+405",0.00112265329009135,3.49022703431602e-05
"T+406",0.00112073979922924,3.49022704074771e-05
"T+407",0.00112046992867456,3.49022704153057e-05
"T+408",0.00112220134391743,3.49022703560141e-05
"T+409",0.00112291114715891,3.49022703314858e-05
"T+410",0.00112038859116469,3.49022704189882e-05
"T+411",0.00112059118809083,3.49022704107239e-05
"T+412",0.00112012282169095,3.49022704265232e-05
"T+413",0.00111899695916331,3.49022704664148e-05
"T+414",0.00112060769346438,3.49022704100705e-05
"T+415",0.00112056810882774,3.49022704108702e-05
"T+416",0.00111843612110757,3.49022704874976e-05
"T+417",0.0011182592381715,3.49022704930616e-05
"T+418",0.00111794665320909,3.4902270504009e-05
"T+419",0.00111730364698685,3.49022705274239e-05
"T+420",0.00112378379323829,3.49022703145694e-05
"T+421",0.0011211637848069,3.49022703982568e-05
"T+422",0.001119716827063,3.49022704450439e-05
"T+423",0.00111930412909322,3.49022704572527e-05
"T+424",0.00112470666156679,3.49022702817214e-05
"T+425",0.00112303965792092,3.49022703321152e-05
"T+426",0.00111996209019893,3.49022704373251e-05
"T+427",0.00111906445576929,3.49022704664437e-05
"T+428",0.0011233035179538,3.4902270324494e-05
"T+429",0.00113907347717324,3.4902269950257e-05
"T+430",0.00112983664888281,3.49022701797236e-05
"T+431",0.00112626649992299,3.49022702586892e-05
"T+432",0.00112297722963327,3.49022703499141e-05
"T+433",0.00112539391402462,3.49022702621488e-05
"T+434",0.00112598892401167,3.49022702371204e-05
"T+435",0.00112287619209536,3.49022703377974e-05
"T+436",0.00112233387864342,3.4902270352998e-05
"T+437",0.00112049469538586,3.49022704154611e-05
"T+438",0.00112549761773398,3.49022702551809e-05
"T+439",0.00112653146876185,3.49022702185156e-05
"T+440",0.00112592887249216,3.49022702351104e-05
"T+441",0.00112562363755625,3.49022702435333e-05
"T+442",0.00112299167522251,3.49022703305435e-05
"T+443",0.00112153363925221,3.49022703790194e-05
"T+444",0.00112283681104564,3.49022703344864e-05
"T+445",0.00112298088918559,3.49022703289231e-05
"T+446",0.00112181650215118,3.49022703681481e-05
"T+447",0.00112444253510667,3.49022702826163e-05
"T+448",0.00113293829247623,3.49022700499072e-05
"T+449",0.0011439973108722,3.49022698114908e-05
"T+450",0.00116674922365539,3.49022696357503e-05
"T+451",0.00327494434364648,3.49049626949057e-05
"T+452",0.00217077981630319,3.49036179082812e-05
