"","location","scale","skewness","shape"
"T+147",-0.000196066043042549,0.000625897872823391,1.00568626576003,8.79915783103407
"T+148",0.00173588677207987,0.000722657439880308,0.994723382064764,9.54223095692201
"T+149",-0.000663740342146904,0.0010773881705479,0.994680897759659,12.3093772803459
"T+150",0.000516386427406387,0.000970511718096952,0.989241039221803,13.3335043704733
"T+151",0.00030709695063808,0.000735883311000915,0.997304981141233,11.9387283440408
"T+152",7.46708714967667e-05,0.00063997892021739,1.001549727986,10.5834844273527
"T+153",0.000462968136116226,0.000598284468650161,0.99715493438957,9.34482409840509
"T+154",-0.000157705811769838,0.00058537567665715,1.00406721950892,8.33858829099175
"T+155",0.00164356189729362,0.000659333646005212,0.992978562482271,8.54706226558227
"T+156",-0.00110721254488887,0.00115414073753538,0.988030259434763,11.0261247120596
"T+157",0.000155082355766722,0.00107071206608066,0.986715747476559,12.608954767507
"T+158",0.000397743780137603,0.000774900694502828,0.988508758081202,11.2552330860881
"T+159",0.000358825435950438,0.000653612640191351,0.994113707198841,9.88978741415661
"T+160",0.000706213632953448,0.000604307149719171,0.993014050973226,8.70481653950081
"T+161",-0.00114150278393113,0.000691827574013719,1.0050403082175,9.2151082565596
"T+162",0.00161362444012847,0.0012956889308202,1.01524417141539,11.3162788518662
"T+163",0.000725758000238058,0.00101371729475647,1.01723137956707,11.8480192798307
"T+164",0.000484605103075781,0.000754538078778751,1.01377058502721,10.535817627539
"T+165",0.000340613964493459,0.000646376065741279,1.00991384110084,9.24461162121749
"T+166",-2.62077927816962e-05,0.000602184687546988,1.00968915910686,8.14694073901803
"T+167",0.00107278796913608,0.000607602913679421,0.997414764910526,7.56557994023047
"T+168",-0.00149553525767382,0.000854045630594115,1.00223896083655,9.38875356730982
"T+169",0.000759185035179726,0.00138786737499471,1.01173483330682,11.7721987785618
"T+170",0.000415564351293309,0.000904192488934565,1.01331409943064,10.7254468457386
"T+171",0.000164281221429772,0.000712194270438519,1.01150494169556,9.48245467845356
"T+172",0.000279107212718332,0.000626758499775146,1.00552357783513,8.28480750631465
"T+173",0.000816794876395347,0.000595611033593465,0.99816390099386,7.36001622616369
"T+174",0.000196142640533479,0.000582329931273105,1.00451540415584,6.60662767080072
"T+175",0.00106830486142429,0.000582754190128244,0.995571341710636,6.06899757359506
"T+176",-0.00172612839862318,0.000858863300839165,1.00034038393295,7.3183098777059
"T+177",0.000498248528165482,0.00147513101220654,1.0152890438878,8.82402949564937
"T+178",0.000407292670937718,0.00090477346174801,1.01126834053231,7.73276536638808
"T+179",0.000231961209329404,0.000709092735065607,1.00932709594633,6.82448478329312
"T+180",0.000108831019672844,0.000626116086471871,1.00714019149238,6.09293037015393
"T+181",0.00120260550245735,0.000617562200206905,0.995472396026014,5.75675000303476
"T+182",-0.000883126328522831,0.000714494199410364,1.00727815281131,6.05533713448868
"T+183",0.00162312389501787,0.00115114849794578,1.01091811094379,7.5327012321317
"T+184",0.000427372452454379,0.00102328635965937,1.01431531424478,8.43738582553184
"T+185",0.000155671378164738,0.000759983836813233,1.01278383040043,7.46854860541937
"T+186",0.000135122060360199,0.000647407211875093,1.00800083834809,6.58791551256654
"T+187",0.000500173232745308,0.000600413264374857,1.00107231299834,5.93507530219217
"T+188",-0.000214998624923582,0.000587320718006593,1.00704029571623,5.50968636657538
"T+189",0.00237249877892225,0.000771785035411885,0.99676953642032,6.08653804210699
"T+190",2.82832154555809e-05,0.00136203769608948,0.983230233276772,7.18599381887855
"T+191",0.000193482009896209,0.000870486014908806,0.987274027009914,6.38851376132343
"T+192",0.000236031391158593,0.00069273952891841,0.992369295486026,5.76018822456303
"T+193",0.00162932486735701,0.000685590036387201,0.985151650844354,5.67117309235859
"T+194",0.00113833482165156,0.000620009812919805,0.996218328516013,5.27679946900444
"T+195",-0.0013195896189933,0.000791921324509799,1.00538220171759,5.73861488304196
"T+196",0.000972493744916876,0.00127769471207906,1.0133230773725,6.88839069859634
"T+197",0.000570729003205278,0.000864830642870819,1.01461797317082,6.29757013181364
