"","location","scale","shape"
"T+48",0.000666542157441035,4.86743487135702e-07,7.99999998851768
"T+49",0.000584510761403944,4.86743487135702e-07,7.99999998851768
"T+50",0.000418889309138472,4.86743487135702e-07,7.99999998851768
"T+51",0.000496021362101554,4.86743487135702e-07,7.99999998851768
"T+52",0.000509298989417706,4.86743487135702e-07,7.99999998851768
"T+53",0.000424486495933395,4.86743487135702e-07,7.99999998851768
"T+54",0.000454066395474327,4.86743487135702e-07,7.99999998851768
"T+55",0.000390328689531474,4.86743487135702e-07,7.99999998851768
"T+56",0.000414415744973594,4.86743487135702e-07,7.99999998851768
"T+57",0.000519280767147698,4.86743487135702e-07,7.99999998851768
"T+58",0.000608708887715678,4.86743487135702e-07,7.99999998851768
"T+59",0.000447652505875558,4.86743487135702e-07,7.99999998851768
"T+60",0.000427061934955816,4.86743487135702e-07,7.99999998851768
"T+61",0.000499456698487216,4.86743487135702e-07,7.99999998851768
"T+62",0.00101482839944917,4.86743487135702e-07,7.99999998851768
"T+63",0.00104527270277559,4.86743487135702e-07,7.99999998851768
"T+64",0.000921483035044735,4.86743487135702e-07,7.99999998851768
"T+65",0.000807805511221474,4.86743487135702e-07,7.99999998851768
"T+66",0.000777150996188768,4.86743487135702e-07,7.99999998851768
"T+67",0.000677185435815216,4.86743487135702e-07,7.99999998851768
"T+68",0.000680138174796445,4.86743487135702e-07,7.99999998851768
"T+69",0.000718207680224841,4.86743487135702e-07,7.99999998851768
"T+70",0.000798194550495293,4.86743487135702e-07,7.99999998851768
"T+71",0.000730651246781792,4.86743487135702e-07,7.99999998851768
"T+72",0.000676109299913948,4.86743487135702e-07,7.99999998851768
"T+73",0.00061938477559391,4.86743487135702e-07,7.99999998851768
"T+74",0.000589732463263397,4.86743487135702e-07,7.99999998851768
"T+75",0.00069772954220646,4.86743487135702e-07,7.99999998851768
"T+76",0.00118802293570093,4.86743487135702e-07,7.99999998851768
"T+77",0.00109746561889973,4.86743487135702e-07,7.99999998851768
"T+78",0.000772700596814314,4.86743487135702e-07,7.99999998851768
"T+79",0.000567771247155237,4.86743487135702e-07,7.99999998851768
"T+80",0.000502537749187276,4.86743487135702e-07,7.99999998851768
"T+81",0.000448205476722689,4.86743487135702e-07,7.99999998851768
"T+82",0.00040550448331081,4.86743487135702e-07,7.99999998851768
"T+83",0.000374572348177484,4.86743487135702e-07,7.99999998851768
"T+84",0.000315874023262159,4.86743487135702e-07,7.99999998851768
"T+85",0.000572301342136688,4.86743487135702e-07,7.99999998851768
"T+86",0.000437267254401683,4.86743487135702e-07,7.99999998851768
"T+87",0.000422424272194193,4.86743487135702e-07,7.99999998851768
"T+88",0.000575667204285087,4.86743487135702e-07,7.99999998851768
"T+89",0.000544137366583555,4.86743487135702e-07,7.99999998851768
"T+90",0.000679734964889054,4.86743487135702e-07,7.99999998851768
"T+91",0.000637305692275767,4.86743487135702e-07,7.99999998851768
"T+92",0.000759711161546474,4.86743487135702e-07,7.99999998851768
"T+93",0.000734867586154535,4.86743487135702e-07,7.99999998851768
"T+94",0.000659881115959567,4.86743487135702e-07,7.99999998851768
"T+95",0.000466623134607965,4.86743487135702e-07,7.99999998851768
"T+96",0.000370960098940223,4.86743487135702e-07,7.99999998851768
"T+97",0.000494323583252318,4.86743487135702e-07,7.99999998851768
"T+98",0.000618291570298388,4.86743487135702e-07,7.99999998851768
"T+99",0.000468920257072017,4.86743487135702e-07,7.99999998851768
"T+100",0.000910910227985497,4.86743487135702e-07,7.99999998851768
"T+101",0.000956980589565208,4.86743487135702e-07,7.99999998851768
"T+102",0.000694486268115416,4.86743487135702e-07,7.99999998851768
"T+103",0.000538972481377712,4.86743487135702e-07,7.99999998851768
"T+104",0.000549495616560278,4.86743487135702e-07,7.99999998851768
"T+105",0.000553050589526948,4.86743487135702e-07,7.99999998851768
"T+106",0.000534530494632024,4.86743487135702e-07,7.99999998851768
"T+107",0.00058166412075146,4.86743487135702e-07,7.99999998851768
"T+108",0.000568561247343349,4.86743487135702e-07,7.99999998851768
"T+109",0.000512669640864982,4.86743487135702e-07,7.99999998851768
"T+110",0.000480007711935389,4.86743487135702e-07,7.99999998851768
"T+111",0.000511849259112441,4.86743487135702e-07,7.99999998851768
"T+112",0.000656192637130748,4.86743487135702e-07,7.99999998851768
"T+113",0.000534724932284462,4.86743487135702e-07,7.99999998851768
"T+114",0.000618066950280172,4.86743487135702e-07,7.99999998851768
"T+115",0.000496162303680696,4.86743487135702e-07,7.99999998851768
"T+116",0.000545333204372184,4.86743487135702e-07,7.99999998851768
"T+117",0.000537604085819704,4.86743487135702e-07,7.99999998851768
"T+118",0.000612505328747824,4.86743487135702e-07,7.99999998851768
"T+119",0.000765119636597378,4.86743487135702e-07,7.99999998851768
"T+120",0.000698823145666415,4.86743487135702e-07,7.99999998851768
"T+121",0.00058952515800047,4.86743487135702e-07,7.99999998851768
"T+122",0.00061353828033513,4.86743487135702e-07,7.99999998851768
"T+123",0.000508058359268053,4.86743487135702e-07,7.99999998851768
"T+124",0.000542676463257339,4.86743487135702e-07,7.99999998851768
"T+125",0.000568008396155627,4.86743487135702e-07,7.99999998851768
"T+126",0.000428507585971008,4.86743487135702e-07,7.99999998851768
"T+127",0.000433373790239082,4.86743487135702e-07,7.99999998851768
"T+128",0.000482618050445724,4.86743487135702e-07,7.99999998851768
"T+129",0.000510416523355304,4.86743487135702e-07,7.99999998851768
"T+130",0.000486047211001291,4.86743487135702e-07,7.99999998851768
