"","x"
"T+180",0.000646960222507155
"T+181",0.000609334592361692
"T+182",0.000587840816474297
"T+183",0.000554751858019637
"T+184",0.000817324271466252
"T+185",0.000788749650875532
"T+186",0.000789127486435581
"T+187",0.000746578180557342
"T+188",0.000707818960874839
"T+189",0.000668886740035317
"T+190",0.000685459260843937
"T+191",0.000640628697170923
"T+192",0.000675518268528509
"T+193",0.000788457427594943
"T+194",0.000744539431761422
"T+195",0.000688415551717586
"T+196",0.000680459575756587
"T+197",0.000633060725224934
"T+198",0.000606849864826322
"T+199",0.000779650773415188
"T+200",0.000760258694828762
"T+201",0.000797485360031133
"T+202",0.000763767081765411
"T+203",0.000799349566951106
"T+204",0.0010167817379709
"T+205",0.0011754993076237
"T+206",0.00134842751206386
"T+207",0.00123640247283949
"T+208",0.00161657244258257
"T+209",0.00145859563552955
"T+210",0.00131374430521592
"T+211",0.00124547003282767
"T+212",0.00113671990431014
"T+213",0.00139702400638117
"T+214",0.00194394219729234
"T+215",0.0017694930780201
"T+216",0.00158162284754222
"T+217",0.00143480715549505
"T+218",0.00152683070448268
"T+219",0.00155552642709074
"T+220",0.0014991738616848
"T+221",0.00137071197026539
"T+222",0.00128618291184254
"T+223",0.0012318970124095
"T+224",0.00113324313345585
"T+225",0.00108212445912461
"T+226",0.00107715717503067
"T+227",0.00103987294698144
"T+228",0.000960603085528553
"T+229",0.000903489031039645
"T+230",0.000830268487936345
"T+231",0.000819151407093976
"T+232",0.000799295513860626
"T+233",0.00081517365784136
"T+234",0.000778492261243384
"T+235",0.000721714827385236
"T+236",0.000749163437099967
"T+237",0.000693462604748292
"T+238",0.00064623951109163
"T+239",0.000620523139264534
"T+240",0.000624054625730485
"T+241",0.000590490387524132
"T+242",0.000557869198483468
"T+243",0.000523311036940967
"T+244",0.000531882510224446
"T+245",0.00049818982698137
"T+246",0.000483780116188811
"T+247",0.00045479220549358
"T+248",0.00047694388558092
"T+249",0.000448110741809988
"T+250",0.000487658892289067
"T+251",0.000476970846214996
"T+252",0.000458360126075991
"T+253",0.000491641098974035
"T+254",0.000461447423278003
"T+255",0.000434045160788592
"T+256",0.000411655795602335
"T+257",0.000403708240159665
"T+258",0.000385963915250138
"T+259",0.000369609616470515
"T+260",0.000430181727555359
"T+261",0.000406143940410138
"T+262",0.00038376296115721
"T+263",0.000393077857994719
"T+264",0.000371804864534345
"T+265",0.000367244083772477
"T+266",0.000592862693393005
"T+267",0.000550077995722052
"T+268",0.000537353082355161
"T+269",0.000532988294126985
"T+270",0.00052080934101595
"T+271",0.000488002021742283
"T+272",0.0005261320431066
"T+273",0.000492917397085706
"T+274",0.000466307675244709
"T+275",0.000449080401180901
"T+276",0.000459605983010449
"T+277",0.000991218049364849
"T+278",0.000883427898498064
"T+279",0.000825239925295612
"T+280",0.00110537604863688
"T+281",0.00103653600481918
"T+282",0.000954125422630061
"T+283",0.000884553249743864
"T+284",0.000835276607067111
"T+285",0.00076952081586822
"T+286",0.000712217703354881
"T+287",0.000664309649796843
"T+288",0.000867890246348992
"T+289",0.000796213942091951
"T+290",0.000739535640927468
"T+291",0.000704836136773557
"T+292",0.000682320761228505
"T+293",0.000633686372355442
"T+294",0.000589395340853352
"T+295",0.000603519771456494
"T+296",0.000591452581045807
"T+297",0.000559837203267169
"T+298",0.000639835860426807
"T+299",0.000609969006255011
"T+300",0.000580677704436882
"T+301",0.000545495287245198
"T+302",0.000542252172776264
"T+303",0.000507231867714088
"T+304",0.000521945655668151
"T+305",0.000490099080350211
"T+306",0.000468319756638088
"T+307",0.000445450098200452
"T+308",0.000465639793159532
"T+309",0.000445346050849223
"T+310",0.000421149978703429
"T+311",0.000428272504954901
"T+312",0.000430556716516001
