 
                                                                                                                                                                                                                                                                
 
SYMBOL        DATE      TIME       PRICE     G127    CORR    COND    EX      SIZE
  AA      20070504     9:31:17    35.1300      0       0      @      D        500
  AA      20070504     9:31:17    35.1400      0       0      E      N        100
  AA      20070504     9:31:17    35.1400      0       0      E      N        100
  AA      20070504     9:31:18    35.1400      0       0      F      N       1000
  AA      20070504     9:31:19    35.1400      0       0      E      N        500
  AA      20070504     9:31:19    35.1400      0       0      E      N        100
  AA      20070504     9:31:19    35.1400      0       0      E      N        100
  AA      20070504     9:31:22    35.1400      0       0      E      N        100
  AA      20070504     9:31:22    35.1400      0       0      E      N        100
  AA      20070504     9:31:24    35.1400      0       0      E      N        100
  AA      20070504     9:31:24    35.1400      0       0      E      N        100
  AA      20070504     9:31:24    35.1400      0       0      E      N        100
  AA      20070504     9:31:24    35.1300      0       0      E      N        400
  AA      20070504     9:31:24    35.1200      0       0      E      N        100
  AA      20070504     9:31:24    35.1300      0       0      @      D        100
  AA      20070504     9:31:24    35.1300      0       0      @      D        100
  AA      20070504     9:31:24    35.1300      0       0      E      P        100
  AA      20070504     9:31:24    35.1300      0       0      E      P        100
  AA      20070504     9:31:24    35.1300      0       0      E      P        100
  AA      20070504     9:31:24    35.1400      0       0      @      C        100
  AA      20070504     9:31:24    35.1400      0       0      @      C        100
  AA      20070504     9:31:24    35.1300      0       0      @      D        500
  AA      20070504     9:31:25    35.1300      0       0      @      T        100
  AA      20070504     9:31:25    35.1300      0       0      @      C        100
  AA      20070504     9:31:25    35.1600      0       0      @      D        100
  AA      20070504     9:31:25    35.1400      0       0      E      N        100
  AA      20070504     9:31:26    35.1200      0       0      E      N        500
  AA      20070504     9:31:27    35.1300      0       0      E      N        100
  AA      20070504     9:31:28    35.1200      0       0      E      N        900
  AA      20070504     9:31:28    35.1200      0       0      E      N        900
  AA      20070504     9:31:31    35.1200      0       0      F      N       1800
  AA      20070504     9:31:32    35.1200      0       0      E      N       1300
  AA      20070504     9:31:32    35.1200      0       0      E      N        100
  AA      20070504     9:31:32    35.1200      0       0      E      N        100
  AA      20070504     9:31:33    35.1200      0       0      E      N        200
  AA      20070504     9:31:33    35.1300      0       0      @      D        100
  AA      20070504     9:31:33    35.1300      0       0      E      N        200
  AA      20070504     9:31:33    35.1400      0       0      E      N        100
  AA      20070504     9:31:33    35.1300      0       0      @      T        100
  AA      20070504     9:31:33    35.1300      0       0      @      T        100
  AA      20070504     9:31:33    35.1300      0       0      E      P        100
  AA      20070504     9:31:33    35.1300      0       0      E      P        100
  AA      20070504     9:31:33    35.1300      0       0      @      C        100
  AA      20070504     9:31:33    35.1300      0       0      @      C        100
  AA      20070504     9:31:33    35.1200      0       0      E      N        500
  AA      20070504     9:31:34    35.1200      0       0      E      N        300
  AA      20070504     9:31:34    35.1300      0       0      E      P        100
  AA      20070504     9:31:34    35.1300      0       0      E      P        100
  AA      20070504     9:31:43    35.1200      0       0      @      T        500
  AA      20070504     9:31:45    35.1000      0       0      @      C        100
  AA      20070504     9:31:45    35.1000      0       0      @      C        100
  AA      20070504     9:31:45    35.1000      0       0      @      T        100
  AA      20070504     9:31:45    35.1000      0       0      @      T        100
  AA      20070504     9:31:46    35.0900      0       0      @      C        100
  AA      20070504     9:31:46    35.0900      0       0      E      P        100
  AA      20070504     9:31:46    35.0900      0       0      E      P        100
  AA      20070504     9:31:50    35.0800      0       0      E      N        200
  AA      20070504     9:31:57    35.0900      0       0      E      N        800
  AA      20070504     9:31:57    35.0900      0       0      E      N        100
  AA      20070504     9:31:57    35.0900      0       0      E      N        100
  AA      20070504     9:31:57    35.0900      0       0      E      N        100
  AA      20070504     9:31:58    35.0900      0       0      E      N        100
  AA      20070504     9:31:58    35.1000      0       0      E      N        100
  AA      20070504     9:31:59    35.1100      0       0      E      N        100
  AA      20070504     9:31:59    35.1100      0       0      E      N        100
  AA      20070504     9:31:59    35.1100      0       0      @      D        100
  AA      20070504     9:31:59    35.1100      0       0      @      D        100
  AA      20070504     9:32:00    35.1200      0       0      F      N        100
  AA      20070504     9:32:01    35.1300      0       0      E      N       1000
  AA      20070504     9:32:03    35.1300      0       0      E      N        300
  AA      20070504     9:32:06    35.1300      0       0      E      N        800
  AA      20070504     9:32:07    35.1300      0       0      F      N        100
  AA      20070504     9:32:07    35.1300      0       0      E      N        300
  AA      20070504     9:32:08    35.1300      0       0      E      N        100
  AA      20070504     9:32:08    35.1300      0       0      E      N        100
  AA      20070504     9:32:08    35.1300      0       0      @      T        100
  AA      20070504     9:32:09    35.1400      0       0      E      N        300
  AA      20070504     9:32:11    35.1500      0       0      @      T        100
  AA      20070504     9:32:11    35.1500      0       0      @      T        100
  AA      20070504     9:32:11    35.1400      0       0      F      P        100
  AA      20070504     9:32:12    35.1500      0       0      E      N        100
  AA      20070504     9:32:12    35.1500      0       0      E      N        200
  AA      20070504     9:32:14    35.1400      0       0      E      P        100
  AA      20070504     9:32:14    35.1400      0       0      E      P        100
  AA      20070504     9:32:14    35.1400      0       0      E      P        100
  AA      20070504     9:32:15    35.1400      0       0      E      N        600
  AA      20070504     9:32:15    35.1400      0       0      @      C        100
  AA      20070504     9:32:15    35.1400      0       0      @      C        100
  AA      20070504     9:32:15    35.1400      0       0      @      T        100
  AA      20070504     9:32:16    35.1400      0       0      E      N        100
  AA      20070504     9:32:16    35.1400      0       0      @      D        270
  AA      20070504     9:32:16    35.1400      0       0      E      N        200
  AA      20070504     9:32:16    35.1400      0       0      E      N        300
  AA      20070504     9:32:17    35.1400      0       0      F      N        100
  AA      20070504     9:32:18    35.1300      0       0      @      T        100
  AA      20070504     9:32:18    35.1300      0       0      @      T        100
  AA      20070504     9:32:18    35.1300      0       0      @      T        100
  AA      20070504     9:32:21    35.1400      0       0      E      N        200
  AA      20070504     9:32:22    35.1200      0       0      @      T        100
  AA      20070504     9:32:22    35.1300      0       0      @      T        100
  AA      20070504     9:32:22    35.1300      0       0      @      T        100
  AA      20070504     9:32:23    35.1400      0       0      E      N        500
  AA      20070504     9:32:25    35.1400      0       0      E      N        500
  AA      20070504     9:32:29    35.1400      0       0      E      N        600
  AA      20070504     9:32:32    35.1400      0       0      E      N        600
  AA      20070504     9:32:33    35.1400      0       0      E      N        100
  AA      20070504     9:32:33    35.1400      0       0      E      N        400
  AA      20070504     9:32:34    35.1500      0       0      E      N        100
  AA      20070504     9:32:34    35.1500      0       0      E      N        100
  AA      20070504     9:32:34    35.1500      0       0      E      N        100
  AA      20070504     9:32:34    35.1500      0       0      E      N        100
  AA      20070504     9:32:35    35.1600      0       0      F      N        100
  AA      20070504     9:32:36    35.1600      0       0      E      N        100
  AA      20070504     9:32:36    35.1600      0       0      @      T        100
  AA      20070504     9:32:36    35.1600      0       0      @      T        100
  AA      20070504     9:32:36    35.1600      0       0      E      N        100
  AA      20070504     9:32:37    35.1600      0       0      E      N        100
  AA      20070504     9:32:38    35.1500      0       0      E      N        100
  AA      20070504     9:32:41    35.1500      0       0      E      N        200
  AA      20070504     9:32:41    35.1400      0       0      F      N       1500
  AA      20070504     9:32:41    35.1500      0       0      E      N        100
  AA      20070504     9:32:41    35.1400      0       0      F      C        100
  AA      20070504     9:32:41    35.1400      0       0      F      C        100
  AA      20070504     9:32:41    35.1400      0       0      F      C        100
  AA      20070504     9:32:44    35.1500      0       0      E      N       2000
  AA      20070504     9:32:46    35.1500      0       0      E      N        100
  AA      20070504     9:32:46    35.1500      0       0      E      N        100
  AA      20070504     9:32:52    35.1400      0       0      E      N       1000
  AA      20070504     9:33:00    35.0700      0       0      B      D      19100
  AA      20070504     9:33:00    35.1400      0       0      E      N        200
  AA      20070504     9:33:00    35.1400      0       0      E      N        100
  AA      20070504     9:33:00    35.1400      0       0      E      N        100
  AA      20070504     9:33:01    35.1400      0       0      E      N       1100
  AA      20070504     9:33:01    35.1400      0       0      E      N       1000
  AA      20070504     9:33:02    35.1400      0       0      E      N        100
  AA      20070504     9:33:02    35.1300      0       0      @      T        600
  AA      20070504     9:33:03    35.1300      0       0      @      T        200
  AA      20070504     9:33:04    35.1200      0       0      E      N        300
  AA      20070504     9:33:07    35.1100      0       0      E      N        100
  AA      20070504     9:33:07    35.1000      0       0      E      N        400
  AA      20070504     9:33:10    35.1000      0       0      E      P        100
  AA      20070504     9:33:10    35.1000      0       0      E      P        100
  AA      20070504     9:33:10    35.1000      0       0      E      P        100
  AA      20070504     9:33:10    35.1000      0       0      @      T        100
  AA      20070504     9:33:13    35.1100      0       0      @      D        100
  AA      20070504     9:33:13    35.1100      0       0      E      N        800
  AA      20070504     9:33:13    35.1200      0       0      E      N       1800
  AA      20070504     9:33:13    35.1300      0       0      E      N        300
  AA      20070504     9:33:13    35.1400      0       0      E      N       1300
  AA      20070504     9:33:13    35.1400      0       0      E      N        200
  AA      20070504     9:33:13    35.1100      0       0      E      N        100
  AA      20070504     9:33:13    35.1100      0       0      E      N        100
  AA      20070504     9:33:14    35.1100      0       0      E      N        700
  AA      20070504     9:33:14    35.1100      0       0      E      N        100
  AA      20070504     9:33:14    35.1100      0       0      E      N        400
  AA      20070504     9:33:14    35.1400      0       0      E      P        100
  AA      20070504     9:33:14    35.1400      0       0      E      P        100
  AA      20070504     9:33:14    35.1200      0       0      E      P        100
  AA      20070504     9:33:14    35.1200      0       0      E      P        100
  AA      20070504     9:33:14    35.1200      0       0      @      T        100
  AA      20070504     9:33:14    35.1200      0       0      @      T        100
  AA      20070504     9:33:14    35.1100      0       0      @      D        100
  AA      20070504     9:33:14    35.1100      0       0      @      D        100
  AA      20070504     9:33:14    35.1100      0       0      E      N        500
  AA      20070504     9:33:14    35.1100      0       0      @      T        100
  AA      20070504     9:33:14    35.1100      0       0      E      N        200
  AA      20070504     9:33:14    35.1100      0       0      @      D        100
  AA      20070504     9:33:14    35.1100      0       0      E      N        100
  AA      20070504     9:33:14    35.1100      0       0      E      N        200
  AA      20070504     9:33:14    35.1100      0       0      E      N       1100
  AA      20070504     9:33:15    35.1200      0       0      E      P        100
  AA      20070504     9:33:15    35.1200      0       0      @      T        100
  AA      20070504     9:33:15    35.1200      0       0      @      T        100
  AA      20070504     9:33:15    35.1200      0       0      @      T        100
  AA      20070504     9:33:16    35.1100      0       0      E      N        100
  AA      20070504     9:33:16    35.1200      0       0      E      N        100
  AA      20070504     9:33:16    35.1200      0       0      E      N        100
  AA      20070504     9:33:16    35.1100      0       0      E      P        100
  AA      20070504     9:33:16    35.1100      0       0      E      P        100
  AA      20070504     9:33:16    35.1100      0       0      F      C        100
  AA      20070504     9:33:16    35.1100      0       0      @      T        100
  AA      20070504     9:33:17    35.1100      0       0      E      N        100
  AA      20070504     9:33:17    35.1100      0       0      E      P        100
  AA      20070504     9:33:17    35.1100      0       0      @      T        100
  AA      20070504     9:33:18    35.1200      0       0      E      N        300
  AA      20070504     9:33:18    35.1200      0       0      E      N        100
  AA      20070504     9:33:19    35.1100      0       0      @      T        100
  AA      20070504     9:33:19    35.1100      0       0      @      T        100
  AA      20070504     9:33:19    35.1200      0       0      E      P        100
  AA      20070504     9:33:19    35.1200      0       0      E      N        100
  AA      20070504     9:33:21    35.1200      0       0      @      T        100
  AA      20070504     9:33:21    35.1100      0       0      @      T        100
  AA      20070504     9:33:21    35.1200      0       0      @      T        100
  AA      20070504     9:33:21    35.1100      0       0      E      P        100
  AA      20070504     9:33:21    35.1100      0       0      @      T        100
  AA      20070504     9:33:21    35.1100      0       0      E      N        600
  AA      20070504     9:33:22    35.1300      0       0      @      T        100
  AA      20070504     9:33:22    35.1300      0       0      E      P        100
  AA      20070504     9:33:22    35.1100      0       0      @      C        100
  AA      20070504     9:33:22    35.1000      0       0      E      N        400
  AA      20070504     9:33:23    35.1100      0       0      E      N        100
  AA      20070504     9:33:23    35.1100      0       0      @      T        100
  AA      20070504     9:33:23    35.1100      0       0      E      N        400
  AA      20070504     9:33:23    35.1100      0       0      E      N        700
  AA      20070504     9:33:23    35.1100      0       0      E      N        300
  AA      20070504     9:33:23    35.1000      0       0      E      N        500
  AA      20070504     9:33:25    35.1200      0       0      @      T        100
  AA      20070504     9:33:25    35.1200      0       0      E      N        300
  AA      20070504     9:33:25    35.1100      0       0      E      P        100
  AA      20070504     9:33:25    35.1100      0       0      @      T        100
  AA      20070504     9:33:27    35.1200      0       0      E      N        300
  AA      20070504     9:33:27    35.1200      0       0      E      N        300
  AA      20070504     9:33:29    35.1200      0       0      E      N        600
  AA      20070504     9:33:30    35.1200      0       0      E      N        100
  AA      20070504     9:33:30    35.1200      0       0      E      P        100
  AA      20070504     9:33:30    35.1200      0       0      E      N        100
  AA      20070504     9:33:30    35.1200      0       0      E      N        200
  AA      20070504     9:33:30    35.1300      0       0      E      N        600
  AA      20070504     9:33:30    35.1300      0       0      E      P        100
  AA      20070504     9:33:31    35.1200      0       0      E      N        200
  AA      20070504     9:33:31    35.1200      0       0      @      T        100
  AA      20070504     9:33:31    35.1200      0       0      @      T        100
  AA      20070504     9:33:31    35.1200      0       0      @      T        100
  AA      20070504     9:33:31    35.1200      0       0      E      N        200
  AA      20070504     9:33:32    35.1300      0       0      E      N        200
  AA      20070504     9:33:33    35.1200      0       0      E      N        100
  AA      20070504     9:33:33    35.1200      0       0      E      N        100
  AA      20070504     9:33:33    35.1100      0       0      @      D        200
  AA      20070504     9:33:33    35.1200      0       0      @      T        100
  AA      20070504     9:33:33    35.1200      0       0      E      P        100
  AA      20070504     9:33:34    35.1100      0       0      @      T        100
  AA      20070504     9:33:34    35.1100      0       0      @      T        100
  AA      20070504     9:33:34    35.1100      0       0      E      N        400
  AA      20070504     9:33:34    35.1000      0       0      E      N       1400
  AA      20070504     9:33:34    35.1100      0       0      E      P        100
  AA      20070504     9:33:34    35.1100      0       0      @      C        100
  AA      20070504     9:33:34    35.1100      0       0      @      C        100
  AA      20070504     9:33:34    35.1100      0       0      E      N        100
  AA      20070504     9:33:34    35.1000      0       0      E      N        200
  AA      20070504     9:33:39    35.1100      0       0      E      N        100
  AA      20070504     9:33:40    35.1100      0       0      @      T        100
  AA      20070504     9:33:40    35.1200      0       0      @      T        100
  AA      20070504     9:33:40    35.1100      0       0      E      N        700
  AA      20070504     9:33:43    35.1000      0       0      E      N       2000
  AA      20070504     9:33:43    35.1100      0       0      E      P        100
  AA      20070504     9:33:45    35.1000      0       0      E      N       1000
  AA      20070504     9:33:45    35.1100      0       0      @      T        100
  AA      20070504     9:33:45    35.1100      0       0      @      T        900
  AA      20070504     9:33:45    35.1100      0       0      E      P        100
  AA      20070504     9:33:53    35.1000      0       0      F      C        100
  AA      20070504     9:33:53    35.1100      0       0      @      D       1000
  AA      20070504     9:33:53    35.1000      0       0      F      N       1700
  AA      20070504     9:33:53    35.1000      0       0      E      N        700
  AA      20070504     9:33:54    35.1000      0       0      E      N        100
  AA      20070504     9:33:54    35.1000      0       0      E      N        100
  AA      20070504     9:33:54    35.1000      0       0      E      N       1300
  AA      20070504     9:33:54    35.1000      0       0      E      N        100
  AA      20070504     9:33:55    35.1000      0       0      E      N        100
  AA      20070504     9:33:55    35.1000      0       0      @      T        100
  AA      20070504     9:33:55    35.1100      0       0      E      N        200
  AA      20070504     9:33:55    35.1000      0       0      @      T        100
  AA      20070504     9:33:55    35.1000      0       0      @      T        200
  AA      20070504     9:33:56    35.0800      0       0      @      T        500
  AA      20070504     9:33:56    35.0800      0       0      E      N       1000
  AA      20070504     9:33:57    35.0800      0       0      @      D        100
  AA      20070504     9:33:57    35.0800      0       0      E      N        100
  AA      20070504     9:33:58    35.0700      0       0      E      N        100
  AA      20070504     9:33:58    35.0700      0       0      E      N        100
  AA      20070504     9:33:58    35.0700      0       0      E      N        100
  AA      20070504     9:34:00    35.0700      0       0      E      N        100
  AA      20070504     9:34:00    35.0700      0       0      E      N        100
  AA      20070504     9:34:00    35.0700      0       0      E      N        100
  AA      20070504     9:34:02    35.0700      0       0      E      N        100
  AA      20070504     9:34:02    35.0700      0       0      E      N        100
  AA      20070504     9:34:02    35.0700      0       0      E      N       1500
  AA      20070504     9:34:02    35.0700      0       0      E      N        100
  AA      20070504     9:34:03    35.0700      0       0      E      N        100
  AA      20070504     9:34:03    35.0700      0       0      E      N        100
  AA      20070504     9:34:03    35.0700      0       0      E      N        300
  AA      20070504     9:34:03    35.0700      0       0      E      N        100
  AA      20070504     9:34:04    35.0600      0       0      E      N        100
  AA      20070504     9:34:04    35.0600      0       0      @      T        100
  AA      20070504     9:34:04    35.0600      0       0      @      T        100
  AA      20070504     9:34:04    35.0600      0       0      @      T        100
  AA      20070504     9:34:04    35.0600      0       0      @      T        100
  AA      20070504     9:34:04    35.0600      0       0      E      P        100
  AA      20070504     9:34:05    35.0500      0       0      E      P        100
  AA      20070504     9:34:05    35.0500      0       0      @      T        200
  AA      20070504     9:34:06    35.0500      0       0      F      N       1900
  AA      20070504     9:34:07    35.0500      0       0      @      T        300
  AA      20070504     9:34:07    35.0500      0       0      @      T        100
  AA      20070504     9:34:07    35.0500      0       0      @      T        300
  AA      20070504     9:34:07    35.0600      0       0      F      N       1500
  AA      20070504     9:34:07    35.0500      0       0      E      N        100
  AA      20070504     9:34:07    35.0500      0       0      E      N        100
  AA      20070504     9:34:07    35.0500      0       0      E      N        100
  AA      20070504     9:34:08    35.0500      0       0      E      N        100
  AA      20070504     9:34:08    35.0500      0       0      E      N        900
  AA      20070504     9:34:09    35.0600      0       0      E      N        100
  AA      20070504     9:34:09    35.0600      0       0      E      N        100
  AA      20070504     9:34:09    35.0600      0       0      @      T        100
  AA      20070504     9:34:09    35.0600      0       0      E      N       2200
  AA      20070504     9:34:09    35.0700      0       0      E      N        700
  AA      20070504     9:34:09    35.0800      0       0      E      N       2100
  AA      20070504     9:34:09    35.0900      0       0      E      N        500
  AA      20070504     9:34:09    35.1000      0       0      E      N        500
  AA      20070504     9:34:09    35.1000      0       0      E      N        100
  AA      20070504     9:34:10    35.1000      0       0      E      N        100
  AA      20070504     9:34:10    35.0700      0       0      @      T        100
  AA      20070504     9:34:10    35.0700      0       0      @      T        100
  AA      20070504     9:34:10    35.0800      0       0      @      T        100
  AA      20070504     9:34:10    35.0900      0       0      @      T        100
  AA      20070504     9:34:10    35.0700      0       0      @      D        100
  AA      20070504     9:34:10    35.0700      0       0      @      D        100
  AA      20070504     9:34:10    35.0700      0       0      @      D        100
  AA      20070504     9:34:10    35.1000      0       0      E      N        100
  AA      20070504     9:34:10    35.0700      0       0      F      P        100
  AA      20070504     9:34:10    35.0700      0       0      F      P        100
  AA      20070504     9:34:10    35.1100      0       0      E      P        100
  AA      20070504     9:34:10    35.1000      0       0      @      T        100
  AA      20070504     9:34:10    35.1100      0       0      @      T        100
  AA      20070504     9:34:10    35.0600      0       0      @      C        100
  AA      20070504     9:34:10    35.1000      0       0      E      N        500
  AA      20070504     9:34:10    35.1000      0       0      E      N        100
  AA      20070504     9:34:10    35.1500      0       0      @      T        100
