"","location","scale","shape"
"T+238",0.000149801589591997,6.6208763219052e-07,7.50125564787602
"T+239",0.000341026348049398,6.01787941967346e-07,7.52827080294305
"T+240",0.000163023042378138,5.62428248767321e-07,7.55610877336506
"T+241",0.000316544424221797,5.19467306247586e-07,7.58234651692893
"T+242",7.11757518641584e-05,4.96505730836107e-07,7.60994741831545
"T+243",0.000736198939514896,4.90754821522972e-07,7.63899890882393
"T+244",-0.000448477249132178,6.31450924239282e-07,7.67908230121246
"T+245",0.000763547702977895,7.41199448631127e-07,7.71678317547694
"T+246",-0.000161150650455586,8.87061305505e-07,7.75522264597408
"T+247",0.000396323466652705,8.19275711155881e-07,7.78180994820381
"T+248",8.2360726983577e-05,7.69052263751467e-07,7.80854178282026
"T+249",0.000326006966532437,6.89661270423995e-07,7.83137413808479
"T+250",0.000274178712478245,6.27809775046324e-07,7.85413381776706
"T+251",0.000200794294207449,5.78388929340328e-07,7.87671485684373
"T+252",0.000185871071794734,5.35196826065147e-07,7.89866360852757
"T+253",0.000200674675154821,4.98258309355593e-07,7.92013910737427
"T+254",0.00059688277625261,4.73156985344738e-07,7.9421785238653
"T+255",0.0025849798271635,1.19290071033152e-06,7.95565915739145
"T+256",0.000818885835408948,4.2016576090739e-06,7.90127096443894
"T+257",0.000640127568742439,3.32204420065541e-06,7.92605135788583
"T+258",0.000489123663585985,2.67686707127852e-06,7.950120414222
"T+259",0.000537702983176566,2.1064432141485e-06,7.97059350961038
"T+260",0.000552660060030763,1.70059066383629e-06,7.99081556804555
"T+261",0.000620739842859111,1.40213342999227e-06,8.0106446997013
"T+262",0.000574884156537669,1.18333015820947e-06,8.03041431551497
"T+263",0.000251918661730451,1.08391164234815e-06,8.05436826227381
"T+264",0.000564173426398857,9.52724878391283e-07,8.07447759899195
"T+265",0.000263732275876124,8.75216782698464e-07,8.09645136118191
"T+266",0.000867402338245757,5.26572821830815e-05,4.63346584441911
"T+267",0.000834758807924218,3.060124649254e-05,4.65968262916259
"T+268",0.000818610235456334,1.87451279375127e-05,4.68644503741105
"T+269",0.000778652060870561,1.21571070953669e-05,4.71381177401762
"T+270",0.000736436822166478,8.25459266646392e-06,4.74174115197943
"T+271",0.000691789620664629,5.83781911906994e-06,4.77022223769152
