"","x"
"T+165",0.000939475040854437
"T+166",0.0009306006006785
"T+167",0.00103343036775434
"T+168",0.00101414050246446
"T+169",0.000969550940652471
"T+170",0.0011890806617183
"T+171",0.00107863321094451
"T+172",0.00100709694195584
"T+173",0.00104415747349552
"T+174",0.00100675477845278
"T+175",0.00102481550675917
"T+176",0.00102739081687286
"T+177",0.000994437404990097
"T+178",0.000983314214873349
"T+179",0.000978245536644697
"T+180",0.000956158619167213
"T+181",0.000940780326096787
"T+182",0.00094246779249355
"T+183",0.000931631319724958
"T+184",0.00133027841331164
"T+185",0.00116662692570429
"T+186",0.00110050777276245
"T+187",0.00103009377726845
"T+188",0.00099193353204568
"T+189",0.000966826930218264
"T+190",0.000990184779067713
"T+191",0.000959381632203352
"T+192",0.000999420669163687
"T+193",0.00110965664492225
"T+194",0.00103391412844416
"T+195",0.00098044406344575
"T+196",0.000979873235749397
"T+197",0.000951059159853847
"T+198",0.000946759106428883
"T+199",0.00115183307155347
"T+200",0.00107365721359446
"T+201",0.0010789734266102
"T+202",0.00102476737019641
"T+203",0.00105157633339871
"T+204",0.00128819077840838
"T+205",0.0013317635604997
"T+206",0.00137340691594358
"T+207",0.00117451159629635
"T+208",0.00163653971679931
"T+209",0.00129707914377039
"T+210",0.00112293122182466
"T+211",0.00106930888687143
"T+212",0.00100492373571853
"T+213",0.00135650918658417
"T+214",0.00208412592795565
"T+215",0.00151392694578769
"T+216",0.00123209218980651
"T+217",0.00109927812114287
"T+218",0.00122038379433937
"T+219",0.0012194899461263
"T+220",0.00115627878660007
"T+221",0.00106124344556729
"T+222",0.00102878129358479
"T+223",0.00102570468570368
"T+224",0.000985861448655351
"T+225",0.000992606971375807
"T+226",0.00103002132812457
"T+227",0.00101924936845461
"T+228",0.000979153418894174
"T+229",0.000967456179842239
"T+230",0.000942627950051418
"T+231",0.000968113352373131
"T+232",0.000974703774735731
"T+233",0.00100983361508827
"T+234",0.00098765044706251
"T+235",0.000955728630566813
"T+236",0.000998044575348762
"T+237",0.000960850877381433
"T+238",0.000940396090497998
"T+239",0.00094002388437241
"T+240",0.00096022790259892
"T+241",0.00094430573992385
"T+242",0.000934402019294028
"T+243",0.000924566025350457
"T+244",0.000950561945267359
"T+245",0.00093231861960352
"T+246",0.00093440949253011
"T+247",0.000922828318297995
"T+248",0.000952383169649161
"T+249",0.000933162285187888
"T+250",0.000973116824167391
"T+251",0.000960058269997125
"T+252",0.000945739351581736
"T+253",0.000975276219123553
"T+254",0.000946555785418832
"T+255",0.000929737892286573
"T+256",0.000921995485027836
"T+257",0.000925269925484644
"T+258",0.000920767955440751
"T+259",0.000917988737548466
"T+260",0.000983756927916123
"T+261",0.000952119141619399
"T+262",0.000932998331500053
"T+263",0.000945393528809952
"T+264",0.000929034124763358
"T+265",0.000931080397533294
"T+266",0.00130893505312701
"T+267",0.00112953014640931
"T+268",0.00105178595811489
"T+269",0.00101393650555181
"T+270",0.000983804132551171
"T+271",0.000951707944867196
"T+272",0.00098937142622626
"T+273",0.000954919124066236
"T+274",0.000937880188277017
"T+275",0.000933139992011281
"T+276",0.000948343140287692
"T+277",0.00880279484302316
"T+278",0.00353971450134556
"T+279",0.00206146628846857
"T+280",0.00177523775410368
"T+281",0.00137695419662135
"T+282",0.00116989038733588
"T+283",0.00106301806518189
"T+284",0.00101440272575079
"T+285",0.000969714414548778
"T+286",0.000945165067766223
"T+287",0.00093216701518369
"T+288",0.00119815998868443
"T+289",0.00107079702691718
"T+290",0.00100480892666048
"T+291",0.000980124815283976
"T+292",0.000969992324815243
"T+293",0.000944540565149682
"T+294",0.000928700926854666
"T+295",0.00096328782189699
"T+296",0.000959976461942879
"T+297",0.000944412308783469
"T+298",0.00102792615750589
"T+299",0.000986963334353395
"T+300",0.000963265539752005
"T+301",0.000941949631714861
"T+302",0.000952578440258561
"T+303",0.000933603478841806
"T+304",0.000956420400833056
"T+305",0.000936789402046677
"T+306",0.000930687392866888
"T+307",0.000924675962494996
"T+308",0.000954427857781596
"T+309",0.000940419334283365
"T+310",0.000927713373109378
"T+311",0.000943244734647535
"T+312",0.000948868039144434
"T+313",0.000933973502052416
"T+314",0.000927764365767304
"T+315",0.000918793177497569
"T+316",0.000918585147912318
"T+317",0.00111998558802552
"T+318",0.00158190285661198
"T+319",0.00130503196572388
"T+320",0.00112770978223185
"T+321",0.00108078770810732
"T+322",0.00103549035719606
"T+323",0.00102740811562694
"T+324",0.00109403876062617
"T+325",0.00101707870649503
"T+326",0.00103276169988846
"T+327",0.00123357201679008
"T+328",0.00108981862112811
"T+329",0.00109479544334795
"T+330",0.00102643614142069
"T+331",0.00128814378977804
"T+332",0.00117865688308254
"T+333",0.00107237990984632
"T+334",0.00102714888051607
"T+335",0.000994662927703227
"T+336",0.00111940469288633
"T+337",0.00103053863251862
"T+338",0.00147433765309606
"T+339",0.00147247693613598
"T+340",0.00128281663807735
"T+341",0.00154056566867993
"T+342",0.00130607492714157
"T+343",0.00115081182618085
"T+344",0.00104723366228693
"T+345",0.00115617395723457
"T+346",0.00105882462901396
"T+347",0.00100266625493337
"T+348",0.00130330936607445
"T+349",0.00115743277879655
"T+350",0.00104936415021918
"T+351",0.00102564773551936
"T+352",0.00119550065161923
"T+353",0.00107033307342038
"T+354",0.00101332932584557
"T+355",0.00102257818197511
"T+356",0.00099399092238641
"T+357",0.00112287219721497
"T+358",0.00105278651851534
"T+359",0.00121401124985552
"T+360",0.00107968772940473
"T+361",0.00105334995493008
"T+362",0.000998803936681045
"T+363",0.000962425953992967
"T+364",0.0010355637540726
"T+365",0.000983172886887372
"T+366",0.000957827410626396
"T+367",0.000947953703918302
"T+368",0.000940469948635321
"T+369",0.000937668301095925
"T+370",0.000924691396403682
"T+371",0.000947093498232019
"T+372",0.000940593985067224
"T+373",0.000926614454120206
"T+374",0.000952505617989319
"T+375",0.000942510266920209
"T+376",0.000929431663284815
"T+377",0.00100240161441267
"T+378",0.000970884006277735
"T+379",0.00097772484338956
"T+380",0.000949432448078196
"T+381",0.000932020064165589
"T+382",0.000930014141686345
"T+383",0.000946727453905289
"T+384",0.000948328109361326
"T+385",0.000932362573727791
"T+386",0.000922586476968856
"T+387",0.00149419833805762
"T+388",0.00124181875532009
"T+389",0.0011028236625165
"T+390",0.00107997781749705
"T+391",0.00112636612424171
"T+392",0.00103627202253698
"T+393",0.000994067652705979
"T+394",0.000957723907476669
"T+395",0.001003137466661
"T+396",0.00096981375845816
"T+397",0.000957770998739736
"T+398",0.000951927103203049
"T+399",0.000939683649590891
"T+400",0.000949734427149402
"T+401",0.00116335346812961
"T+402",0.00106287683832553
"T+403",0.00100073142415346
"T+404",0.00097206887210511
"T+405",0.000947164003100847
"T+406",0.000930644046909114
"T+407",0.00096675528185341
"T+408",0.00102060238758742
"T+409",0.000974519419048544
"T+410",0.000951478692598914
"T+411",0.00093293504998371
"T+412",0.000945818087891729
"T+413",0.00110683516591394
"T+414",0.0010298197210062
"T+415",0.0009891685893805
"T+416",0.000970908320340188
"T+417",0.000952460225695742
"T+418",0.000933880543885834
"T+419",0.000945727205603528
"T+420",0.000946670402071071
"T+421",0.000930397648465176
"T+422",0.000924866477253093
"T+423",0.000917313487572316
"T+424",0.000928187806331926
"T+425",0.000919540634223623
"T+426",0.0009164818317754
"T+427",0.000924124994421632
"T+428",0.000916532594064364
"T+429",0.000913081484391872
"T+430",0.000911052477743749
"T+431",0.000908715681547071
"T+432",0.000919475314436702
"T+433",0.000915660748116136
"T+434",0.000915190745610274
"T+435",0.000911742727041132
"T+436",0.000916535362600304
"T+437",0.000916239633362476
"T+438",0.000925173564244778
"T+439",0.00109833818556781
"T+440",0.00101752968784288
"T+441",0.000974893747046111
"T+442",0.000951821438071163
"T+443",0.000934517708813862
"T+444",0.00104634794576453
"T+445",0.000987329169208124
"T+446",0.000971211445477658
"T+447",0.000971241702649448
"T+448",0.000951575380932692
"T+449",0.000932654591511796
"T+450",0.00092229955510462
"T+451",0.00100343661814392
"T+452",0.00101214591992623
"T+453",0.0010015254399511
"T+454",0.000966051332427003
"T+455",0.000969809113322617
"T+456",0.000987507451670843
"T+457",0.000970304482373362
"T+458",0.00098893325664663
"T+459",0.00105980330436773
"T+460",0.00104258249917161
"T+461",0.000986595090864211
"T+462",0.000953340175271504
"T+463",0.00094680991096424
"T+464",0.00093059493389633
"T+465",0.000946950316434383
"T+466",0.000974813589691232
"T+467",0.000986495147293596
"T+468",0.000954302857393878
"T+469",0.000960392116799653
"T+470",0.000960196207952464
"T+471",0.000983472647234003
"T+472",0.000951268535536414
"T+473",0.00104740950663327
"T+474",0.00100335350853116
"T+475",0.000986095008389826
"T+476",0.000959191373016297
"T+477",0.000940120290321155
"T+478",0.000925989034227878
"T+479",0.000921140400279758
"T+480",0.000933290882307927
"T+481",0.0009220702332224
"T+482",0.000931301788289093
"T+483",0.000943578708682774
"T+484",0.000946932182093115
"T+485",0.000930578915649963
"T+486",0.00117762800739974
"T+487",0.00107079044153182
"T+488",0.00105259995680179
"T+489",0.00100337210875744
"T+490",0.00100491637191665
"T+491",0.000965314102049219
"T+492",0.000966592911655453
"T+493",0.000960374397643507
"T+494",0.00101454448781167
"T+495",0.000970958326981274
"T+496",0.000959484414440856
"T+497",0.000952811113753299
"T+498",0.00104580909056341
"T+499",0.000997550540225157
"T+500",0.00103901379178461
"T+501",0.000983313932555868
"T+502",0.000951307933427002
"T+503",0.000982886863414826
"T+504",0.00107779074969368
"T+505",0.0012584664371846
"T+506",0.00110277947708566
"T+507",0.00104723928421494
"T+508",0.00100638459193592
"T+509",0.000964533244896991
"T+510",0.000959764562385116
"T+511",0.000942678014166365
"T+512",0.00092860358922833
"T+513",0.000919765989647105
