"","scale","shape"
"T+142",1.33865043939026,3073.12908574741
"T+143",1.53648061422112,2843.92827696973
"T+144",1.37286523963105,3188.52351746926
"T+145",1.36434309613843,3349.68570830081
"T+146",1.41568371389763,3404.01706288199
"T+147",1.21544203680633,3851.82393096895
"T+148",1.41001459472027,3514.89181645809
"T+149",1.67156591270106,3097.01559674402
"T+150",1.69331353533902,3189.03743263921
"T+151",1.63566054003725,3397.10008962482
"T+152",1.36785636312308,3907.81891987794
"T+153",1.27247437146438,4238.4336944385
"T+154",1.41062358383959,4040.21177322071
"T+155",1.47430726438915,4047.61744735813
"T+156",1.62925511270253,3840.54696759415
"T+157",1.45081626124563,4269.29419326832
"T+158",1.62459460899744,3991.32810989158
"T+159",1.74316356505886,3878.09669321569
"T+160",1.91439847588144,3669.72382217638
"T+161",1.4281315085723,4441.85070983782
"T+162",1.57550033611694,4216.3703206006
"T+163",1.83907129333235,3735.76370279345
"T+164",2.02357976522713,3520.78428678962
"T+165",1.90418341566086,3789.13159475564
"T+166",1.52390390254345,4453.22869713365
"T+167",1.50039290000981,4637.67284013779
"T+168",1.55600753037399,4638.94507660308
"T+169",1.5381881721544,4807.2325082129
"T+170",1.54839254213515,4911.35650359537
"T+171",1.56228684044313,5003.73233038884
"T+172",1.46078912313508,5361.1526758134
"T+173",1.79853898500003,4396.76086405762
"T+174",2.3118090710943,3353.95543203074
"T+175",1.88153303398072,3953.58361417561
"T+176",1.67807388574951,4390.07642778846
"T+177",1.46054132608701,4915.25133822558
"T+178",1.63236547100199,4578.95998645223
"T+179",1.67272521044618,4609.74101847497
"T+180",1.45117094666696,5159.91095714984
"T+181",1.69880645969927,4547.79454049677
"T+182",2.24117241538337,3317.509768374
"T+183",1.98806708294006,3717.36080025637
"T+184",2.03735202153061,3735.19226849954
"T+185",1.50693106915665,4553.81256879553
"T+186",1.24644965368718,5186.47287432205
"T+187",1.34435357567997,5043.65188503568
"T+188",1.58752763476411,4423.4069878965
"T+189",1.81223530496509,4017.11909895292
"T+190",2.22296544917437,3304.10620653186
"T+191",1.46670077249322,4244.86321373145
"T+192",1.41565095599792,4491.21710529482
"T+193",1.87695676863825,3259.72499057059
