"","SYMBOL","DATE","TIME","PRICE","SIZE","G127","CORR","COND","EX"
"1781","AA",20070504,"9:48:09",35.13,100,0,0,"E","P"
"1782","AA",20070504,"9:48:09",35.13,100,0,0,"E","P"
"1793","AA",20070504,"9:48:26",35.13,100,0,0,"E","P"
"1794","AA",20070504,"9:48:26",35.13,100,0,0,"E","P"
"1817","AA",20070504,"9:48:31",35.12,100,0,0,"E","P"
"1832","AA",20070504,"9:49:02",35.14,100,0,0,"E","P"
"1833","AA",20070504,"9:49:03",35.14,100,0,0,"E","P"
"1834","AA",20070504,"9:49:03",35.14,100,0,0,"E","P"
"1835","AA",20070504,"9:49:03",35.14,100,0,0,"E","P"
"1854","AA",20070504,"9:49:24",35.1,100,0,0,"E","P"
"1861","AA",20070504,"9:49:27",35.07,100,0,0,"E","P"
"1875","AA",20070504,"9:49:34",35.06,100,0,0,"E","P"
"1876","AA",20070504,"9:49:34",35.07,100,0,0,"E","P"
"1877","AA",20070504,"9:49:34",35.07,100,0,0,"E","P"
"1878","AA",20070504,"9:49:34",35.07,100,0,0,"E","P"
"1879","AA",20070504,"9:49:34",35.08,100,0,0,"E","P"
"1880","AA",20070504,"9:49:34",35.08,100,0,0,"E","P"
"1881","AA",20070504,"9:49:34",35.08,100,0,0,"E","P"
"1882","AA",20070504,"9:49:34",35.08,100,0,0,"E","P"
"1883","AA",20070504,"9:49:34",35.08,100,0,0,"E","P"
"1884","AA",20070504,"9:49:34",35.08,100,0,0,"E","P"
"1885","AA",20070504,"9:49:34",35.08,100,0,0,"E","P"
"1886","AA",20070504,"9:49:34",35.08,100,0,0,"E","P"
"1887","AA",20070504,"9:49:34",35.09,100,0,0,"E","P"
"1888","AA",20070504,"9:49:34",35.09,100,0,0,"E","P"
"1889","AA",20070504,"9:49:34",35.09,100,0,0,"E","P"
"1890","AA",20070504,"9:49:34",35.09,100,0,0,"E","P"
"1891","AA",20070504,"9:49:34",35.09,100,0,0,"E","P"
"1892","AA",20070504,"9:49:34",35.09,100,0,0,"E","P"
"1893","AA",20070504,"9:49:34",35.09,100,0,0,"E","P"
"1894","AA",20070504,"9:49:34",35.09,100,0,0,"E","P"
"1895","AA",20070504,"9:49:34",35.09,100,0,0,"E","P"
"1896","AA",20070504,"9:49:34",35.09,100,0,0,"E","P"
"1897","AA",20070504,"9:49:34",35.09,100,0,0,"E","P"
"1898","AA",20070504,"9:49:34",35.09,100,0,0,"F","P"
"1899","AA",20070504,"9:49:34",35.09,300,0,0,"F","P"
"1900","AA",20070504,"9:49:34",35.09,100,0,0,"F","P"
"1901","AA",20070504,"9:49:34",35.09,100,0,0,"E","P"
"1904","AA",20070504,"9:49:35",35.11,100,0,0,"E","P"
"1907","AA",20070504,"9:49:35",35.12,100,0,0,"E","P"
"1932","AA",20070504,"9:49:36",35.12,100,0,0,"E","P"
"1933","AA",20070504,"9:49:36",35.13,100,0,0,"E","P"
"1934","AA",20070504,"9:49:36",35.12,100,0,0,"F","P"
"1944","AA",20070504,"9:49:37",35.11,100,0,0,"E","P"
"1954","AA",20070504,"9:49:40",35.09,100,0,0,"E","P"
"1955","AA",20070504,"9:49:42",35.09,100,0,0,"E","P"
"1956","AA",20070504,"9:49:43",35.09,100,0,0,"E","P"
"1964","AA",20070504,"9:49:45",35.1,100,0,0,"E","P"
"1965","AA",20070504,"9:49:45",35.1,100,0,0,"E","P"
"1966","AA",20070504,"9:49:45",35.1,100,0,0,"E","P"
"1967","AA",20070504,"9:49:45",35.1,100,0,0,"E","P"
"1968","AA",20070504,"9:49:45",35.1,100,0,0,"E","P"
"1969","AA",20070504,"9:49:45",35.1,100,0,0,"E","P"
"1970","AA",20070504,"9:49:45",35.1,100,0,0,"E","P"
"1971","AA",20070504,"9:49:45",35.11,100,0,0,"E","P"
"1972","AA",20070504,"9:49:45",35.11,100,0,0,"E","P"
"1973","AA",20070504,"9:49:45",35.11,100,0,0,"E","P"
"1974","AA",20070504,"9:49:45",35.11,100,0,0,"E","P"
"1975","AA",20070504,"9:49:45",35.11,100,0,0,"E","P"
"1976","AA",20070504,"9:49:45",35.11,100,0,0,"E","P"
"1977","AA",20070504,"9:49:45",35.11,100,0,0,"E","P"
"1978","AA",20070504,"9:49:45",35.11,100,0,0,"E","P"
"1980","AA",20070504,"9:49:45",35.11,100,0,0,"F","P"
"1981","AA",20070504,"9:49:45",35.11,100,0,0,"E","P"
"1982","AA",20070504,"9:49:45",35.11,800,0,0,"E","P"
"1986","AA",20070504,"9:49:45",35.11,100,0,0,"E","P"
"1987","AA",20070504,"9:49:45",35.11,400,0,0,"E","P"
"1992","AA",20070504,"9:49:45",35.11,100,0,0,"E","P"
"2010","AA",20070504,"9:50:00",35.13,100,0,0,"E","P"
"2026","AA",20070504,"9:50:00",35.13,100,0,0,"E","P"
"2027","AA",20070504,"9:50:00",35.12,100,0,0,"F","P"
